oblast;title;amount;smd;type;
Одеська область;Капітальний ремонт дитячого майданчика по вул. Іцхака Рабіна, 2, у м. Одесі;18620;134;Діти;
Миколаївська область;Центральна загальноосвітня школа I-III ступеня по вул. Суворова, 1, с. Центральне Снігурівського району, заміна вікон;18700;130;Навчальний заклад;
Сумська область;Придбання термостата для Центральної районної лікарні, смт Липова Долина, вул. Лікарняна, 3;18800;161;Медичний заклад;
Хмельницька область;Придбання комп’ютерної техніки для Купільського дошкільного начального закладу Волочиського району Хмельницької області;18910;188;Навчальний заклад;
Хмельницька область;Придбання комп’ютерної техніки для Соломнянського дошкільного навчального закладу “Носики-курносики” Волочиського району Хмельницької області;18920;188;Навчальний заклад;
Житомирська область;Придбання комплекту меблів для класу (13 парт, 28 стільців, стіл для вчителя, стілець для вчителя) для Рихальської ЗОШ;19000;65;Навчальний заклад;
Житомирська область;Придбання мультимедійного проектора, екрана, радіомікрофонів із стійками для будинку культури, с. Рихальське;19000;65;Заклади культури;
Житомирська область;Придбання інтерактивної дошки, комплекту музичного обладнання для Степанівської ЗОШ;19000;65;Навчальний заклад;
Житомирська область;Придбання комплекту меблів (столи, стільці, шафи) та світлового обладнання для будинку культури в с. Степанівка;19000;65;Заклади культури;
Полтавська область;Кротенківський навчально-виховний комплекс Полтавський район, Полтавська область, заміна вікон;19044;145;Навчальний заклад;
Житомирська область;Капітальний ремонт із заміною віконних блоків амбулаторії загальної практики - сімейної медицини с. Піщаниця Овруцького району;19800;64;Медичний заклад;
Житомирська область;Заміна вікон в Мотовилівській загальноосвітній школі I-III ступеня по вул. 40-річчя Перемоги, 5, с. Мотовилівка Любарського району;20000;67;Навчальний заклад;
Житомирська область;Заміна вікон в Юрівському навчально-виховному комплексі по вул. Шкільній, 11, с. Юрівка Любарського району;20000;67;Навчальний заклад;
Житомирська область;Заміна вікон та утеплення в Старочорторийському будинку культури по вул. Соборній, 6, с. Стара Чортория Любарського району;20000;67;Заклади культури;
Житомирська область;Придбання комплекту музичного обладнання для будинку культури с. Усолуси;20000;65;Заклади культури;
Житомирська область;Придбання обладнання та інвентарю для дитячого садка, смт Яблунець;20000;65;Навчальний заклад;
Кіровоградська область;Розроблення проектно-кошторисної документації щодо проведення комплексних робіт із благоустрою паркової зони по вул. Молодіжна в с. Успенка Онуфріївського району Кіровоградської області;20000;102;благоустрій;
Сумська область;Придбання предметів довгострокового користування - обладнання для харчоблоків дошкільних навчальних закладів відділу освіти, м. Ромни, вул. Соборна, 41;20000;161;Навчальний заклад;
Сумська область;Придбання зони приземлення для гімнастичних брусів для дитячо-юнацької спортивної школи відділу освіти, м. Ромни, вул. Соборна, 41;20000;161;Навчальний заклад;
Сумська область;Придбання комплекту матів для дитячо-юнацької спортивної школи відділу освіти, м. Ромни, вул. Соборна, 41;20000;161;Навчальний заклад;
Сумська область;Придбання комплекту класних дошок для навчальних закладів відділу освіти, молоді та спорту Липоводолинської районної державної адміністрації, смт Липова Долина, вул. Полтавська, 25;20000;161;Навчальний заклад;
Івано-Франківська область;Буріння та облаштування свердловини для забезпечення питною водою Городенківського територіального центру, Тишківське стаціонарне відділення для постійного проживання одиноких непрацездатних громадян та інвалідів в с. Тишківці Городенківського району Іван;20000;88;благоустрій;
Івано-Франківська область;"Придбання комп’ютерного обладнання для Коломийської міської ради: 1 стаціонарний комп’ютер; 1 одиниця копіювальної техніки";20000;88;розвиток;
Тернопільська область;Капітальний ремонт фельдшерсько-акушерського пункту, с. Панівці Борщівського району;20000;167;Медичний заклад;
Черкаська область;Капітальний ремонт по заміні системи опалення в приміщенні фельдшерсько-акушерського пункту, Лузанівська сільська рада Кам’янського району;20000;198;Медичний заклад;
Хмельницька область;Капітальний ремонт сільського будинку культури (заміна віконних блоків) в с. Яхнівці Волочиського району Хмельницької обл.;20000;188;Заклади культури;
Житомирська область;Придбання проектору, екрану для Хутір-Мокляківської ЗОШ;20500;65;Навчальний заклад;
