data,deputy,link,assets
2017-03-30T00:00:00,Геращенко Антон Юрійович,https://declarations.com.ua/declaration/nacp_61d74c2a-3b72-4381-acfb-6c61cae0cd62,3 518 008  
2017-03-29T00:00:00,Геращенко Ірина Володимирівна,https://declarations.com.ua/declaration/nacp_cf0151ad-947a-4a7e-9895-a236de574200,5 933 054  
2017-03-31T00:00:00,Герега Олександр Володимирович,https://declarations.com.ua/declaration/nacp_1685cc1e-a062-44e2-bbc9-e1be4725ac00,155 831 308  
2017-03-22T00:00:00,Гєллєр Євгеній Борисович,https://declarations.com.ua/declaration/nacp_0aeee44a-e099-4a3d-9915-cfe50c3a3370,171 413 690  
2017-03-31T00:00:00,Гіршфельд Анатолій Мусійович,https://declarations.com.ua/declaration/nacp_2e5ffb21-14bc-4b23-9d34-4d57d2bd214a,17 615 336  
2017-04-05T00:00:00,Головко Михайло Йосифович,https://declarations.com.ua/declaration/nacp_dee4303e-8c92-4196-b48b-cb6e2389cdcd,1 240 534  
2017-03-25T00:00:00,Голуб Владислав Володимирович,https://declarations.com.ua/declaration/nacp_2b8d78af-463f-499b-be84-f7c549d3ac2c,3 765 650  
2017-03-30T00:00:00,Голубов Дмитро Іванович,https://declarations.com.ua/declaration/nacp_69808a95-82b2-43fe-9383-a4dc4a9e5ff5,138 625 090  
2017-03-28T00:00:00,Гончаренко Олексій Олексійович,https://declarations.com.ua/declaration/nacp_8cf40713-15eb-4c22-9442-095ac6e0bbce,5 058 121  
2017-03-29T00:00:00,Гопко Ганна Миколаївна,https://declarations.com.ua/declaration/nacp_0b078ba5-7c3c-45da-881b-54a10b6761ee,4 551 987  
2017-03-30T00:00:00,Горбунов Олександр Володимирович,https://declarations.com.ua/declaration/nacp_ee601c94-403b-434d-80b2-619f16d8179f,11 896 302  
2017-03-31T00:00:00,Горват Роберт Іванович,https://declarations.com.ua/declaration/nacp_e0e473d1-46b4-4e05-a09e-1ff48538c1e3,3 019 026  
2017-03-29T00:00:00,Грановський Олександр Михайлович,https://declarations.com.ua/declaration/nacp_b1480fff-f537-4473-9eed-876b1a2e34ed,35 159 893  
2017-03-29T00:00:00,Гринів Ігор Олексійович,https://declarations.com.ua/declaration/nacp_099ecb67-777b-4caf-9904-c95920839d59,5 199 891  
2017-04-05T00:00:00,Гринів Ігор Олексійович,https://declarations.com.ua/declaration/nacp_4a0a0606-de23-4d78-b873-8db201655ca5,5 201 382  
2017-03-31T00:00:00,Гудзенко Віталій Іванович,https://declarations.com.ua/declaration/nacp_e3136d5c-5fa9-4a4c-af07-6e629b0adba4,79 105 160  
2017-03-20T00:00:00,Гузь Ігор Володимирович,https://declarations.com.ua/declaration/nacp_27ac9707-1b9a-4af9-97ad-5a83271b628f,89 000  
2017-03-29T00:00:00,Гуляєв Василь Олександрович,https://declarations.com.ua/declaration/nacp_3de65205-68e6-4c51-b6cb-f04745b715e6,5 506 586  
2017-03-31T00:00:00,Гусак Володимир Георгійович,https://declarations.com.ua/declaration/nacp_29fc039b-5747-4766-b355-a011eceb7341,37 984 286  
2017-04-05T00:00:00,Давиденко Валерій Миколайович,https://declarations.com.ua/declaration/nacp_9a9a46b7-03e5-42a9-81cf-fe76a870a2f2,66 258 801  
2017-03-31T00:00:00,Данілін Владислав Юрійович,https://declarations.com.ua/declaration/nacp_38d00b03-4d27-4169-a362-5b357b3791a7,0
2017-03-23T00:00:00,Данченко Олександр Іванович,https://declarations.com.ua/declaration/nacp_a71a1a17-4786-4fdf-9a73-d92d37e27607,25 920 661  
